"Key","Link","Title","Status","Points","Description","Assignee","Created","Epic"
"CT-5589","https://caretracker.atlassian.net/browse/CT-5589","CT-5589: LONG OPS - PAT_INSURANCE 8rktkmwhy5mda, 1vxuv3xm45b2m,9vff6xu73tcky ","Closed","","*Current SQL at the top of the long_ops list.* {noformat}@long_ops_by_count COUNT(*) MIN(START MAX(START TARGET SQL_ID ---------- --------- --------- ---------------------------------------------------------------- ------------- 58 29-APR-26 12-MAY-26 HT4.PAT_INSURANCE 1vxuv3xm45b2m {noformat} *SQL_ID: 1vxuv3xm45b2m* {noformat}HT4:RCTNDB:1900 09:08 LIVEDB> @explain.sql; 2 SELECT DISTINCT MI.INSURANCE_COMPANY_NAME AS INSURANCE_COMPANY_FULLNAME 3 ,PI.INSURANCE_ID 4 FROM MAINT_INSURANCE MI 5 ,PAT_I","Unassigned","2026-05-12 09:05:33 Eastern Daylight Time",""
"CT-5586","https://caretracker.atlassian.net/browse/CT-5586","9.Future: PCID Opt-In to Dedicated DB","Closed","","Support PCIDs who request their own dedicated database Future commercial offering where PCIDs can opt into a dedicated Oracle DB for performance/isolation. Uses the same framework as Scenario A â€” no new scripts needed. Requires a process for handling ongoing requests and a provisioning runbook. *Note:* No new scripts required â€” reuses the full framework from Stories 1â€“7.","Unassigned","2026-05-11 12:58:28 Eastern Daylight Time","CT-5577"
"CT-5585","https://caretracker.atlassian.net/browse/CT-5585","8.Pilot Execution: PCID 12819","Closed","","Execute full Scenario A pilot for PCID 12819 and validate results End-to-end pilot run using PCID 12819. Validates the entire framework against real production data before scaling to other PCIDs. SELECT 'PAT_DETAILS' AS tbl, COUNT(_) AS rows_count FROM PAT_DETAILS WHERE parent_company_id = 12819_ _UNION ALL_ _SELECT 'PAT_FINANCIAL_TRANSACTION', COUNT(_) FROM PAT_FINANCIAL_TRANSACTION WHERE parent_company_id = 12819 UNION ALL SELECT 'PAT_APPOINTMENT', COUNT(_) FROM PAT_APPOINTMENT WHERE parent_co","Remya RR. Rajan","2026-05-11 12:55:45 Eastern Daylight Time","CT-5577"
"CT-5584","https://caretracker.atlassian.net/browse/CT-5584","7.Purge PCID Data from Shared Production DB","Closed","","Irreversible batch-delete of a PCID's data from the shared HT4 schema After a PCID is confirmed stable on its dedicated DB (Scenario A only), purge its data from the shared schema to reclaim storage and reduce contention. FK-ordered batch deletes (10K rows/commit) prevent undo log explosion. Requires typed CONFIRM before executing. Irreversible â€” must only run after extended stable period and with written project owner approval.","Unassigned","2026-05-11 12:46:08 Eastern Daylight Time","CT-5577"
"CT-5583","https://caretracker.atlassian.net/browse/CT-5583","6.Validation Framework","Closed","","Post-import validation covering row counts, FK integrity, indexes, and sequences Parameterized validation script (any PCID) that verifies: * Row counts match expected source values * No orphaned FK records in Cat B tables * No unusable indexes * Sequences are reset above MAX(pk) â€” no collision risk","Remya RR. Rajan","2026-05-11 12:43:55 Eastern Daylight Time","CT-5577"
"CT-5582","https://caretracker.atlassian.net/browse/CT-5582"," 5.Scenario B: Dev/QA Simulation for Issue Reproduction","Closed","","Load any PCID's production data into a Dev/QA schema for issue reproduction Support team needs to reproduce production issues using real PCID data in a controlled environment. This scenario imports a PCID's full data into a dev/QA schema. Production is never modified. No purge step. Can also be used to load any PCID's data into a test environment quickly on demand.","Remya RR. Rajan","2026-05-11 12:36:38 Eastern Daylight Time","CT-5577"
"CT-5580","https://caretracker.atlassian.net/browse/CT-5580","3.PCID Data Staging:  Extraction Scripts","Closed","","Stage PCID-specific data into TMP_ tables on source for any given PCID create TMP_ staging tables on prod for a given {{parent_company_id}}. Each TMP_ table is a filtered copy of the source table ({{WHERE parent_company_id = :pcid}} or equivalent FK chain join). Covers: * Cat A: direct {{parent_company_id}} tables * Cat B: tables linked via FK chain","Remya RR. Rajan","2026-05-11 12:28:41 Eastern Daylight Time","CT-5577"
"CT-5579","https://caretracker.atlassian.net/browse/CT-5579","2 .Foundation Layer: Global Reference Data Export & Import","Closed","","Export and load the 512 global/reference tables (Foundation layer) The Foundation layer contains all global/reference tables that every PCID needs â€” lookup codes, maintenance tables, configuration data, audit logs. 512 tables, ~10.8B rows, no tenant filter. This dump is exported once and reused for every target DB. Must be refreshable independently of the gold template.","Remya RR. Rajan","2026-05-11 12:26:16 Eastern Daylight Time","CT-5577"
"CT-5569","https://caretracker.atlassian.net/browse/CT-5569","Please add new Specialty to Provider Setup","Closed","","Please add Specialty Hepatology to the Specialty field in the Provider Setup. This field can be found in the Practice Information portion of the provider demographics. Screen print attached showing the field this needs to be added for. Case: CAS-606127-J5S6D1 Request made my Argus Medical CP","Neyda Pagan","2026-05-08 12:51:13 Eastern Daylight Time",""
"CT-5517","https://caretracker.atlassian.net/browse/CT-5517","Data Export - Ana M Sierra de Aragon MD 15291","Closed","","[^SOW Statement of Work_CareTracker _Dr Aragon-CAS-603138-B9X0M6-Signed.pdf] The practice is under UnisLink and is moving to eCW. They requested a full CCDA and PDF data exports from 4/1/2020 to the present. According to UnisLink, they will be using CT through the end of May. I advised that we should wait until the practice is done using the system before exporting data but eCW insists that they need a full â€œtestâ€ run CCDA and PDF export first. I offered to have the delta exported once the p","Unassigned","2026-05-07 13:00:19 Eastern Daylight Time",""
"CT-5509","https://caretracker.atlassian.net/browse/CT-5509","Where is Unapplied Credit pulling from for one specific account","Closed","","{panel:bgColor=#e3fcef} h3. Summary The issue involves a discrepancy regarding a $35.00 credit for unapplied transactions on a specific patient account. Despite the credit appearing, the patient is not listed under unapplied transactions. h3. Context Support has investigated the issue by reviewing all transactions related to unapplied credits. Each transaction has a posting date, but the patient account still reflects the credit. h3. Acceptance criteria * Confirm the source of the $35.00 credit ","Unassigned","2026-05-07 08:16:08 Eastern Daylight Time",""
"CT-5499","https://caretracker.atlassian.net/browse/CT-5499","Upload Historical 837 Files [PAID]","Closed","","Please upload the historical 837 files for the following SFTP site. Client is requestingÂ claims from 3/1/2025 through 2/28/26 be uploaded to their SFTP server. Site = [hub.caretracker.com|http://hub.caretracker.com] port 22 PCID: 15119 GRPID: 19698 Case: CAS-600719-M3V9S6","Unassigned","2026-05-06 12:17:43 Eastern Daylight Time",""
"CT-5496","https://caretracker.atlassian.net/browse/CT-5496","CT-5496: LONG OPS - MAINT_ORGANIZATION 1j9h4yy1dsk4x","Closed","","{noformat} COUNT(*) MIN_START MAX_START TARGET SQL_ID ---------- --------- --------- ---------------------------------------------------------------- ------------- 50 30-APR-26 06-MAY-26 HT4.MAINT_ORGANIZATION 1j9h4yy1dsk4x{noformat} This is the long ops query and needs review. It comes from a WYSIWYG report: {noformat} SELECT ""PAT_DETAILS"".""ENTITY_ID"" ,""PAT_ENTITY_MASTER"".""PEM_PARENT_COMPANY_ID"" ,""ALL_NAME"".""FIRST_NAME"" ,""ALL_NAME"".""LAST_NAME"" ,""ALL_NAME"".""SUFIX"" ,""PAT_MEDICATION_ORDER"".""INSTRU","Unassigned","2026-05-06 09:54:12 Eastern Daylight Time",""
"CT-5488","https://caretracker.atlassian.net/browse/CT-5488","LONG OPS recurrence of query","Closed","","{noformat}HT4:RCTNDB:4416 13:42 LIVEDB> @explain.sql; 2 SELECT ""PAT_DETAILS"".""ENTITY_ID"" 3 ,""PAT_ENTITY_MASTER"".""PEM_PARENT_COMPANY_ID"" 4 ,""ALL_NAME"".""FIRST_NAME"" 5 ,""ALL_NAME"".""LAST_NAME"" 6 ,""ALL_NAME"".""SUFIX"" 7 ,""PAT_MEDICATION_ORDER"".""INSTRUCTIONS"" 8 ,""PAT_MEDICATION_ORDER"".""NUMBER_OF_REFILLS"" 9 ,""ALL_NAME_1"".""LAST_NAME"" 10 ,""ALL_NAME_1"".""FIRST_NAME"" 11 ,""PAT_DETAILS"".""CHART_NUMBER"" 12 ,""PAT_DETAILS"".""DOB"" 13 ,""PAT_DETAILS"".""GENDER"" 14 ,""ALL_ADDRESS"".""ADDRESS_LINE_1"" 15 ,""ALL_ADDRESS"".""ADDRES","Unassigned","2026-05-05 13:43:53 Eastern Daylight Time",""
"CT-5487","https://caretracker.atlassian.net/browse/CT-5487","CT-5487: Long Ops with HT4.PAT_FORMULARY_HISTORY 82xnd3pp627k7","Closed","","[~accountid:712020:5f53984c-b530-4101-9b4f-eb655045026c] [~accountid:712020:78d07d25-3c97-40d9-8e9d-6383ca758f83] Need to locate the query 82xnd3pp627k7: update PAT_FORMULARY_HISTORY SET ENTITY_ID=:""SYS_B_0"" WHERE ENTITY_ID = :""SYS_B_1"" {noformat}HT4:RCTNDB:12425 11:13 LIVEDB> @explain.sql; 2 update /*+ INDEX (H PFMH_ENTITY_ID_IDX) */ PAT_FORMULARY_HISTORY SET ENTITY_ID=:""SYS_B_0"" WHERE ENTITY_ID = :""SYS_B_1""; Explained. Elapsed: 00:00:00.07 HT4:RCTNDB:12425 11:13 LIVEDB> @display.sql; PLAN_TABL","Unassigned","2026-05-05 12:07:36 Eastern Daylight Time",""
"CT-5486","https://caretracker.atlassian.net/browse/CT-5486","CT-5486: LONG OPS issues with certain queries","Closed","","Querying the V$SESSION_LONGOPS reveals some long running operations that may point to insufferable queries. BUGS should be logged under this ticket. [~accountid:712020:5f53984c-b530-4101-9b4f-eb655045026c] [~accountid:712020:78d07d25-3c97-40d9-8e9d-6383ca758f83] {noformat} 1 SELECT COUNT(*) 2 ,MIN(START_TIME) MIN_START 3 ,MAX(START_TIME) MAX_START 4 ,TARGET 5 , SQL_ID 6 FROM V$SESSION_LONGOPS 7 WHERE OPNAME LIKE '%Table Scan%' 8 OR OPNAME LIKE '%Index Build%' 9 GROUP BY TARGET, SQL_ID 10* ORDER ","Unassigned","2026-05-05 12:05:04 Eastern Daylight Time",""
"CT-5484","https://caretracker.atlassian.net/browse/CT-5484","Clinical Tests/Procedures data not getting exported in CDA","Closed","","Clinical Tests/Procedures data documented for a patient is not being included in the generated CDA document. After generating and reviewing the exported CDA XML, no entries related to Clinical Tests/Procedures are present even though valid data has been staged and signed in the patient chart.","Unassigned","2026-05-05 09:21:43 Eastern Daylight Time",""
"CT-5468","https://caretracker.atlassian.net/browse/CT-5468","System Slowness throughout CareTracker","Closed","","{panel:bgColor=#deebff} Clients are reporting the system has been slow since Friday. They are working on Chrome and in the Live environment. Users are reporting issues sending eRX, entering charges from Transactions -Charge, booking appointments and pulling patients into context. The client reported this has been happening all weekend as well. {panel} h2. ðŸ Home Dashboard Issues Some clients are reporting the Home dashboard not loading and it staying blank. Support is requesting further inform","Unassigned","2026-05-04 11:02:44 Eastern Daylight Time",""
"CT-5467","https://caretracker.atlassian.net/browse/CT-5467","Aptarro Migration Wave 5 5/7/2026 9PM ET","Closed","","h2. Apply Aptarro Settings Based on Parent Company Group Configuration h3. Objective Run a script to update Transaction Scrubber settings for groups under specific Parent Companies, based on their current CM (Claims Manager) configuration. h3. Input An Excel file will be provided containing the following columns: * *Channel Partner* * *Parent Company* * *Parent Company ID* h3. Scope * Apply updates to *all active groups* associated with each *Parent Company ID* listed in the Excel file. * Inacti","Unassigned","2026-05-04 10:57:48 Eastern Daylight Time",""
"CT-5462","https://caretracker.atlassian.net/browse/CT-5462","When a user adds a controlled substance, then a non-controlled, when editing med, the system states controlled substances can't be sent","Dev Ready","","When a user adds a controlled substance to the RX collector, then a compound medication that is not controlled or non-controlled substance, the system displays the message of â€œControlled substance prescriptions cannot be sent electronically from areas other than the Rx Writer.â€ even though itâ€™s not a controlled substance. When the non-controlled substance is being edited, the radio button for Action is grayed, the previous selection is displayed. See attached video and screen shot. This th","Unassigned","2026-05-01 15:53:32 Eastern Daylight Time",""
"CT-5460","https://caretracker.atlassian.net/browse/CT-5460","Question of E-Statements Workflow","Closed","","h2. â“ CareTracker and RevSpring E-Statements Inquiry When a patient is updated to e-statements 'Yes' in CareTracker, how does the system determine what number is sent to RevSpring? Support spoke with RevSpring and they advised they are receiving the same number twice from CareTracker for each account. Does CareTracker put the preferred number in both Mobile and Home regardless if there is a mobile/home on file or does it only put both fields if there is only a mobile/home on file? h2. ðŸ‘¥ Pat","Unassigned","2026-05-01 14:01:22 Eastern Daylight Time",""
"CT-5459","https://caretracker.atlassian.net/browse/CT-5459","Signature is not appearing on non-controlled substances if added after controlled when printing RX","Dev Ready","","Iâ€™m not sure if this is functioned as designed, but when I add a non-controlled substance to the RX collector, then a controlled, then another non-controlled substances and print the prescriptions, only the first RX has the provider signature appearing. Shouldnâ€™t the sig appear on the 3rd as well or do our clients know to add all non-controlled substances first then controlled when printing? If this is the case, please close.","Unassigned","2026-05-01 13:58:46 Eastern Daylight Time",""
"CT-5453","https://caretracker.atlassian.net/browse/CT-5453","Map CT Templates to ALA Database Changes","Closed","","h2. High-level overview Implements group-level scope for the ALA progress-note template mapping in CareTracker. A group admin configures a single mapping per progress-note template, and every operator in the group inherits it automatically. h3. What's changing * A new HT4 table stores one mapping row per (group, template) pair. The payload describes which CareTracker note sections receive content from each ALA section. * A modal in the progress note (gear icon) lets the admin inspect the active ","Nicholas Levert","2026-04-30 15:54:16 Eastern Daylight Time","CT-5482"
"CT-5447","https://caretracker.atlassian.net/browse/CT-5447","CCDA Observations can contain units with spaces in them","Closed","","When running a CCDA from PCID 12819 against the SITE IG + Vocab test, some of their CCDA lab result observations have units with spaces in them. These units with spaces fail the '\[^\s\]+' regex test. For example, 'mg /dL' is invalid. Removing the spaces may be considered modifying patient/healthcare data. Some of their units may also become unreadable such as '%ofinhibition' (which is also not a UCUM unit). *Acceptance Criteria:* * TBD","Unassigned","2026-04-30 10:01:09 Eastern Daylight Time",""
"CT-5446","https://caretracker.atlassian.net/browse/CT-5446","CCDA Observations can contain units of ""(calc)""","Closed","","When running a CCDA from PCID 12819 against the SITE IG + Vocab test, some of their CCDA lab result observations contain the unit â€˜(calc)'. '(calc)â€™ is not a valid UCUM unit and fails the vocabulary test. In these cases, the unit contains only â€˜(calc)â€™. Replacing it with an empty string results in a CCDA validation error. Fully removing the unit may be considered modifying patient/healthcare data. *Acceptance Criteria:* * TBD","Unassigned","2026-04-30 09:48:28 Eastern Daylight Time",""
"CT-5434","https://caretracker.atlassian.net/browse/CT-5434","eCW Mid-Level Provider Co-Sign DFT Test","Development","","The vendor, eCW has sorted out sending the mid-level providerâ€™s and the main providers information in the cases where co-signing a patient encounter is required. eCW provided a sample message for review - see below From: Sharath Appanderanda [sharath.appanderanda@eclinicalworks.com|mailto:sharath.appanderanda@eclinicalworks.com] Sent: Tuesday, April 28, 2026 9:56 AM To: Benjamin Martelle [BMartelle@harriscomputer.com|mailto:BMartelle@harriscomputer.com]; Sanjana Jaiswal [sanjana.jaiswal@eclini","Benjamin Martelle","2026-04-29 12:00:11 Eastern Daylight Time",""
"CT-5417","https://caretracker.atlassian.net/browse/CT-5417","Build Validation for 9.6.2026 - Umar","Closed","","This is a task for the build validation testing to create 9.6.2026","M Umar Ashraf","2026-04-28 13:24:37 Eastern Daylight Time",""
"CT-5387","https://caretracker.atlassian.net/browse/CT-5387","New Scheduler: Removed inline sql and replaced with Stored Procedure - GET_EMR_OPERATOR_DEFAULTS","Closed","","*Per AI recommendations and DBA team general best practice requests:* Removed inline sql and replaced with Stored Procedure: GetEmrOperatorDefaults Sub which uses Raw Inline SQL Instead of a Stored Procedure sbSQL.Append(""SELECT PARAMETER_NAME, PARAMETER_VALUE FROM OPERATOR_CL_SETTINGS ..."") Raw SQL bypasses Oracle's execution plan cache more often than stored procedures, adding parse overhead on every call â€” especially under load.","Christopher Orena","2026-04-27 12:47:59 Eastern Daylight Time",""
